北京市,110000,Beijing Shi,bjs,BeijingShi
东城区,110101,Dongcheng Qu,dcq,DongchengQu
西城区,110102,Xicheng Qu,xcq,XichengQu
朝阳区,110105,Chaoyang Qu,cyq,ChaoyangQu
丰台区,110106,Fengtai Qu,ftq,FengtaiQu
石景山区,110107,Shijingshan Qu,sjsq,ShijingshanQu
海淀区,110108,Haidian Qu,hdq,HaidianQu
门头沟区,110109,Mentougou Qu,mtgq,MentougouQu
房山区,110111,Fangshan Qu,fsq,FangshanQu
通州区,110112,Tongzhou Qu,tzq,TongzhouQu
顺义区,110113,Shunyi Qu,syq,ShunyiQu
昌平区,110114,Changping Qu,cpq,ChangpingQu
大兴区,110115,Daxing Qu,dxq,DaxingQu
怀柔区,110116,Huairou Qu,hrq,HuairouQu
平谷区,110117,Pinggu Qu,pgq,PingguQu
密云区,110118,Miyun Qu,myq,MiyunQu
延庆区,110119,Yanqing Qu,yqq,YanqingQu
天津市,120000,Tianjin Shi,tjs,TianjinShi
河西区,120103,Hexi Qu,hxq,HexiQu
和平区,120101,Heping Qu,hpq,HepingQu
河东区,120102,Hedong Qu,hdq,HedongQu
南开区,120104,Nankai Qu,nkq,NankaiQu
河北区,120105,Hebei Qu,hbq,HebeiQu
红桥区,120106,Hongqiao Qu,hqq,HongqiaoQu
东丽区,120110,Dongli Qu,dlq,DongliQu
西青区,120111,Xiqing Qu,xqq,XiqingQu
津南区,120112,Jinnan Qu,jnq,JinnanQu
北辰区,120113,Beichen Qu,bcq,BeichenQu
武清区,120114,Wuqing Qu,wqq,WuqingQu
宝坻区,120115,Baodi Qu,bdq,BaodiQu
滨海新区,120116,Binhai Xinqu,bhxq,BinhaiXinqu
宁河区,120117,Ninghe Qu,nhq,NingheQu
静海区,120118,Jinghai Qu,jhq,JinghaiQu
蓟州区,120119,Jizhou Qu,jzq,JizhouQu
河北省,130000,Hebei Sheng,hbs,HebeiSheng
石家庄市,130100,Shijiazhuang Shi,sjzs,ShijiazhuangShi
长安区,130102,Chang&#39;an Qu,caq,ChanganQu
桥西区,130104,Qiaoxi Qu,qxq,QiaoxiQu
新华区,130105,Xinhua Qu,xhq,XinhuaQu
井陉矿区,130107,Jingxing Kuangqu,jxkq,JingxingKuangqu
裕华区,130108,Yuhua Qu,yhq,YuhuaQu
藁城区,130109,Gaocheng Qu,gcq,GaochengQu
鹿泉区,130110,Luquan Qu,lqq,LuquanQu
栾城区,130111,Luancheng Qu,lcq,LuanchengQu
辛集市,130181,Xinji Shi,xjs,XinjiShi
晋州市,130183,Jinzhou Shi,jzs,JinzhouShi
新乐市,130184,Xinle Shi,xls,XinleShi
井陉县,130121,Jingxing Xian,jxx,JingxingXian
正定县,130123,Zhengding Xian,zdx,ZhengdingXian
行唐县,130125,Xingtang Xian,xtx,XingtangXian
灵寿县,130126,Lingshou Xian,lsx,LingshouXian
高邑县,130127,Gaoyi Xian,gyx,GaoyiXian
深泽县,130128,Shenze Xian,szx,ShenzeXian
赞皇县,130129,Zanhuang Xian,zhx,ZanhuangXian
无极县,130130,Wuji Xian,wjx,WujiXian
平山县,130131,Pingshan Xian,psx,PingshanXian
元氏县,130132,Yuanshi Xian,ysx,YuanshiXian
赵县,130133,Zhao Xian,zx,ZhaoXian
唐山市,130200,Tangshan Shi,tss,TangshanShi
路北区,130203,Lubei Qu,lbq,LubeiQu
路南区,130202,Lunan Qu,lnq,LunanQu
古冶区,130204,Guye Qu,gyq,GuyeQu
开平区,130205,Kaiping Qu,kpq,KaipingQu
丰南区,130207,Fengnan Qu,fnq,FengnanQu
丰润区,130208,Fengrun Qu,frq,FengrunQu
曹妃甸区,130209,Caofeidian Qu,cfdq,CaofeidianQu
遵化市,130281,Zunhua Shi,zhs,ZunhuaShi
迁安市,130283,Qian&#39;an Shi,qas,QiananShi
滦州市,130284,Luanzhou Shi,lzs,LuanzhouShi
滦南县,130224,Luannan Xian,lnx,LuannanXian
乐亭县,130225,Laoting Xian,ltx,LaotingXian
迁西县,130227,Qianxi Xian,qxx,QianxiXian
玉田县,130229,Yutian Xian,ytx,YutianXian
秦皇岛市,130300,Qinhuangdao Shi,qhds,QinhuangdaoShi
海港区,130302,Haigang Qu,hgq,HaigangQu
山海关区,130303,Shanhaiguan Qu,shgq,ShanhaiguanQu
北戴河区,130304,Beidaihe Qu,bdhq,BeidaiheQu
抚宁区,130306,Funing Qu,fnq,FuningQu
昌黎县,130322,Changli Xian,clx,ChangliXian
卢龙县,130324,Lulong Xian,llx,LulongXian
青龙满族自治县,130321,Qinglong Manzu Zizhixian,qlmzzzx,QinglongManzuZizhixian
邯郸市,130400,Handan Shi,hds,HandanShi
丛台区,130403,Congtai Qu,ctq,CongtaiQu
邯山区,130402,Hanshan Qu,hsq,HanshanQu
复兴区,130404,Fuxing Qu,fxq,FuxingQu
峰峰矿区,130406,Fengfeng Kuangqu,ffkq,FengfengKuangqu
肥乡区,130407,Feixiang Qu,fxq,FeixiangQu
永年区,130408,Yongnian Qu,ynq,YongnianQu
武安市,130481,Wu&#39;an Shi,was,WuanShi
临漳县,130423,Linzhang Xian,lzx,LinzhangXian
成安县,130424,Cheng&#39;an Xian,cax,ChenganXian
大名县,130425,Daming Xian,dmx,DamingXian
涉县,130426,She Xian,sx,SheXian
磁县,130427,Ci Xian,cx,CiXian
邱县,130430,Qiu Xian,qx,QiuXian
鸡泽县,130431,Jize Xian,jzx,JizeXian
广平县,130432,Guangping Xian,gpx,GuangpingXian
馆陶县,130433,Guantao Xian,gtx,GuantaoXian
魏县,130434,Wei Xian,wx,WeiXian
曲周县,130435,Quzhou Xian,qzx,QuzhouXian
邢台市,130500,Xingtai Shi,xts,XingtaiShi
桥东区,130502,Qiaodong Qu,qdq,QiaodongQu
桥西区,130503,Qiaoxi Qu,qxq,QiaoxiQu
南宫市,130581,Nangong Shi,ngs,NangongShi
沙河市,130582,Shahe Shi,shs,ShaheShi
邢台县,130521,Xingtai Xian,xtx,XingtaiXian
临城县,130522,Lincheng Xian,lcx,LinchengXian
内丘县,130523,Neiqiu Xian,nqx,NeiqiuXian
柏乡县,130524,Baixiang Xian,bxx,BaixiangXian
隆尧县,130525,Longyao Xian,lyx,LongyaoXian
任县,130526,Ren Xian,rx,RenXian
南和县,130527,Nanhe Xian,nhx,NanheXian
宁晋县,130528,Ningjin Xian,njx,NingjinXian
巨鹿县,130529,Julu Xian,jlx,JuluXian
新河县,130530,Xinhe Xian,xhx,XinheXian
广宗县,130531,Guangzong Xian,gzx,GuangzongXian
平乡县,130532,Pingxiang Xian,pxx,PingxiangXian
威县,130533,Wei Xian,wx,WeiXian
清河县,130534,Qinghe Xian,qhx,QingheXian
临西县,130535,Linxi Xian,lxx,LinxiXian
保定市,130600,Baoding Shi,bds,BaodingShi
竞秀区,130602,Jingxiu Qu,jxq,JingxiuQu
莲池区,130606,Lianchi Qu,lcq,LianchiQu
满城区,130607,Mancheng Qu,mcq,ManchengQu
清苑区,130608,Qingyuan Qu,qyq,QingyuanQu
徐水区,130609,Xushui Qu,xsq,XushuiQu
涿州市,130681,Zhuozhou Shi,zzs,ZhuozhouShi
定州市,130682,Dingzhou Shi,dzs,DingzhouShi
安国市,130683,Anguo Shi,ags,AnguoShi
高碑店市,130684,Gaobeidian Shi,gbds,GaobeidianShi
涞水县,130623,Laishui Xian,lsx,LaishuiXian
阜平县,130624,Fuping Xian,fpx,FupingXian
定兴县,130626,Dingxing Xian,dxx,DingxingXian
唐县,130627,Tang Xian,tx,TangXian
高阳县,130628,Gaoyang Xian,gyx,GaoyangXian
容城县,130629,Rongcheng Xian,rcx,RongchengXian
涞源县,130630,Laiyuan Xian,lyx,LaiyuanXian
望都县,130631,Wangdu Xian,wdx,WangduXian
安新县,130632,Anxin Xian,axx,AnxinXian
易县,130633,Yi Xian,yx,YiXian
曲阳县,130634,Quyang Xian,qyx,QuyangXian
蠡县,130635,Li Xian,lx,LiXian
顺平县,130636,Shunping Xian,spx,ShunpingXian
博野县,130637,Boye Xian,byx,BoyeXian
雄县,130638,Xiong Xian,xx,XiongXian
张家口市,130700,Zhangjiakou Shi,zjks,ZhangjiakouShi
桥西区,130703,Qiaoxi Qu,qxq,QiaoxiQu
桥东区,130702,Qiaodong Qu,qdq,QiaodongQu
宣化区,130705,Xuanhua Qu,xhq,XuanhuaQu
下花园区,130706,Xiahuayuan Qu,xhyq,XiahuayuanQu
万全区,130708,Wanquan Qu,wqq,WanquanQu
崇礼区,130709,Chongli Qu,clq,ChongliQu
张北县,130722,Zhangbei Xian,zbx,ZhangbeiXian
康保县,130723,Kangbao Xian,kbx,KangbaoXian
沽源县,130724,Guyuan Xian,gyx,GuyuanXian
尚义县,130725,Shangyi Xian,syx,ShangyiXian
蔚县,130726,Yu Xian,yx,YuXian
阳原县,130727,Yangyuan Xian,yyx,YangyuanXian
怀安县,130728,Huai&#39;an Xian,hax,HuaianXian
怀来县,130730,Huailai Xian,hlx,HuailaiXian
涿鹿县,130731,Zhuolu Xian,zlx,ZhuoluXian
赤城县,130732,Chicheng Xian,ccx,ChichengXian
承德市,130800,Chengde Shi,cds,ChengdeShi
双桥区,130802,Shuangqiao Qu,sqq,ShuangqiaoQu
双滦区,130803,Shuangluan Qu,slq,ShuangluanQu
鹰手营子矿区,130804,Yingshouyingzi Kuangqu,ysyzkq,YingshouyingziKuangqu
平泉市,130881,Pingquan Shi,pqs,PingquanShi
承德县,130821,Chengde Xian,cdx,ChengdeXian
兴隆县,130822,Xinglong Xian,xlx,XinglongXian
滦平县,130824,Luanping Xian,lpx,LuanpingXian
隆化县,130825,Longhua Xian,lhx,LonghuaXian
丰宁满族自治县,130826,Fengning Manzu Zizhixian,fnmzzzx,FengningManzuZizhixian
宽城满族自治县,130827,Kuancheng Manzu Zizhixian,kcmzzzx,KuanchengManzuZizhixian
围场满族蒙古族自治县,130828,Weichang Manzu Mengguzu Zizhixian,wcmzmgzzzx,WeichangManzuMengguzuZizhixian
沧州市,130900,Cangzhou Shi,czs,CangzhouShi
运河区,130903,Yunhe Qu,yhq,YunheQu
