from,to,cost
52323,52515,312.5280129775109
52323,52533,256.90042765571394
52323,52546,359.4099637306104
52323,52557,397.0830131196395
52323,52643,396.9906939034133
52323,52652,409.20170678882283
52323,52656,494.70016356796106
52323,52674,578.8734875587003
52323,52679,646.8915520203949
52323,52681,623.4625093347076
52323,52784,696.5071849633234
52323,52787,716.4890614500084
52323,52797,792.1024039614605
52323,52881,753.1510992235322
52323,52884,851.311435602297
52323,52885,776.3087749255956
52323,52895,879.487101791886
52323,52896,847.4086873988841
52323,52978,876.21514852125
52323,52980,845.876055629404
52323,52981,875.8796902641648
52323,52982,902.9240365945806
52323,52983,903.1867896882975
52323,52984,874.0995962925607
52323,52985,896.4969430937801
52323,52986,930.2453306202389
52323,52988,921.9816092382055
52323,52993,974.5812566966674
52323,52995,955.4346804022499
52323,52996,996.142590536495
52323,52998,969.740258797598
52323,53821,1059.121239592499
52323,53829,1141.7122837565648
52323,53906,1028.2170551179538
52323,53908,1022.1361868319268
52323,53915,1087.781959523139
52323,53917,1074.3056589059847
52323,53923,1140.0964135729466
52323,53924,1187.5246716116035
52323,53925,1112.600194114717
52323,53926,1148.4162863041888
52323,53927,1111.2813508180027
52323,53928,1129.987395974459
52323,53930,1116.186084640881
52323,53934,1161.1510033971779
52323,53935,1211.6898434273696
52323,53937,1175.217479672379
52323,56071,934.9276991513551
52323,56074,974.5775367992171
52323,56080,913.3878990219499
52323,56081,963.6913858355865
52323,56082,982.3856995767251
52323,56084,1017.5455181462447
52323,56091,1009.4611466845819
52323,56092,1006.5681082861511
52323,56093,1022.860632402343
52323,56094,1100.8532587057618
52323,56095,1078.326698935896
52323,56096,1164.4426483987231
52323,56192,1193.570184011525
52323,57001,1067.6055818496673
52323,57002,1078.3552767959497
52323,57004,1043.153840406808
52323,57006,1106.988137718889
52323,57007,1108.3014248758238
52323,57008,1128.279474138417
52323,57011,1117.2812032305435
52323,57012,1101.74475360189
52323,57014,1115.0493328404073
52323,57102,1176.6780661477956
52323,57105,1207.2996991560306
52323,57110,1194.7813485198078
52323,57111,1195.7243109919473
52515,52533,310.66719390559354
52515,52546,426.6580838502941
52515,52557,458.1197054400455
52515,52643,416.99236522616906
52515,52652,468.53065910200536
52515,52656,528.9167435016117
52515,52674,631.6615434323421
52515,52679,700.2141279426601
52515,52681,716.1295967923329
52515,52784,735.582417378887
52515,52787,744.2021576285385
52515,52797,842.2240720910701
52515,52881,779.1683392399557
52515,52884,871.2701800307622
52515,52885,795.4880933620884
52515,52895,919.953920475853
52515,52896,877.7150495708813
52515,52978,829.80929829599
52515,52980,840.2056500858448
52515,52981,863.1884231204052
52515,52982,888.1509446216531
52515,52983,912.1939497600437
52515,52984,854.0041023557216
52515,52985,875.1901435248886
52515,52986,919.1733180602815
52515,52988,907.7564712000682
52515,52993,995.1838223290243
52515,52995,965.0683226752482
52515,52996,1007.6035452373542
52515,52998,958.8957462837895
52515,53821,1137.0025205225536
52515,53829,1211.3405538250186
52515,53906,1055.4261987966784
52515,53908,1033.0764030597343
52515,53915,1130.347750526135
52515,53917,1099.3183803448321
52515,53923,1200.178673721138
52515,53924,1231.497904885593
52515,53925,1165.5779619157604
52515,53926,1195.4638951338359
52515,53927,1144.2617161100927
52515,53928,1171.248856716359
52515,53930,1198.664411853533
52515,53934,1226.779777411937
52515,53935,1275.1342441653244
52515,53937,1233.7885603935742
52515,56071,872.3100878092063
52515,56074,888.8221887978891
52515,56080,870.8100018080311
52515,56081,923.7617219087161
52515,56082,942.8148888786872
52515,56084,960.1936410691959
52515,56091,996.7014977866697
52515,56092,1001.1265227345922
52515,56093,990.7239947773817
52515,56094,1061.119880263168
52515,56095,1044.2622492569096
52515,56096,1127.3809456738231
52515,56192,1142.9455216808437
52515,57001,1068.3763381443164
52515,57002,1087.15745445967
52515,57004,1035.231013616321
52515,57006,1110.9474079154243
52515,57007,1092.8715795006162
52515,57008,1111.6527223887524
52515,57011,1131.9447645786042
52515,57012,1122.8094671990689
52515,57014,1120.8004899829
52515,57102,1161.392372504991
52515,57105,1181.190214239837
52515,57110,1186.2856789178995
52515,57111,1193.8846244019078
52533,52546,124.10524434520556
52533,52557,160.80914716568202
52533,52643,143.50178678487575
52533,52652,172.7869946435737
52533,52656,251.21331184391929
52533,52674,347.1602771681663
52533,52679,417.5214822322092
52533,52681,416.5643344353472
52533,52784,461.79085519180705
52533,52787,477.57920378162777
52533,52797,564.425018362991
52533,52881,514.3629374415048
52533,52884,612.0011368299369
52533,52885,535.449650635917
52533,52895,648.8360723086865
52533,52896,611.9871442409984
52533,52978,621.2520469654314
52533,52980,598.4328487661669
52533,52981,627.0340326483331
52533,52982,653.8910825591735
52533,52983,660.8592906992207
52533,52984,623.5325274014356
52533,52985,645.913017552695
52533,52986,682.4299066170689
52533,52988,673.2911005332602
52533,52993,737.1819626176472
52533,52995,713.969071499018
52533,52996,755.7560226240747
52533,52998,722.4025236834891
52533,53821,849.6086729144703
52533,53829,928.366521118655
52533,53906,793.9515459687746
52533,53908,781.8544531913473
52533,53915,860.5935625836325
52533,53917,839.662209602014
52533,53923,921.7469227060251
52533,53924,961.8702802612065
52533,53925,890.488907541091
52533,53926,923.8310386776327
52533,53927,880.1907988046845
52533,53928,902.6196447153612
52533,53930,909.8459850458755
52533,53934,945.8420741992644
52533,53935,995.6511833334695
52533,53937,956.4078900790015
52533,56071,678.7326597119853
52533,56074,717.6799700142849
52533,56080,659.1889067735066
52533,56081,710.251757848588
52533,56082,729.1364138856566
52533,56084,762.1607049674953
52533,56091,762.0194073088152
52533,56092,761.0607427663516
52533,56093,771.2104317132147
52533,56094,848.3455454894349
52533,56095,826.7014865814756
52533,56096,912.7828362075659
52533,56192,939.8132735271811
52533,57001,824.5045292902521
52533,57002,837.9166623903006
52533,57004,797.3068359513638
52533,57006,865.2349066194564
52533,57007,861.0213657760505
52533,57008,880.8488874146686
52533,57011,879.2122222289968
52533,57012,865.8630987407704
52533,57014,873.9414515886428
52533,57102,929.9359661028642
52533,57105,958.1436020161586
52533,57110,949.9956961588922
52533,57111,952.8861443943154
52546,52557,38.191405127827814
52546,52643,62.790364419288025
52546,52652,50.47839372367244
52546,52656,135.29621664094793
52546,52674,224.8737548088907
52546,52679,294.97403330863045
52546,52681,292.9615782028221
52546,52784,341.17695736824334
52546,52787,359.0023081221657
52546,52797,442.00498392309356
52546,52881,395.8331439498425
52546,52884,493.99332666249103
52546,52885,418.16902194835416
52546,52895,527.4120880043974
52546,52896,492.13995268734146
52546,52978,521.7040228693384
52546,52980,486.4685423298735
52546,52981,516.5798947754233
52546,52982,543.6362793918483
52546,52983,544.7416574595769
52546,52984,515.2602574567949
52546,52985,537.6295798940116
52546,52986,570.8381456289586
52546,52988,562.6360701714306
52546,52993,618.4556217407403
52546,52995,597.3753120688241
52546,52996,638.5845801854135
52546,52998,610.336516202754
52546,53821,725.5469168599142
52546,53829,804.5220567173486
52546,53906,674.015041777303
52546,53908,664.6587144912696
52546,53915,738.6459053535967
52546,53917,719.9381223259651
52546,53923,798.3551464944829
52546,53924,839.7074023580725
52546,53925,767.5861337024753
52546,53926,801.4071065455447
52546,53927,759.3127967848144
52546,53928,780.770146448661
52546,53930,785.7436584606412
52546,53934,822.1601791562914
52546,53935,872.0718619634907
