lat,long
41.80,97.03
39.52,94.87
39.77,98.48
39.37,99.83
39.15,100.17
38.83,99.62
39.08,100.28
38.43,100.82
38.23,101.97
37.92,102.67
38.63,103.08
37.47,102.90
37.20,102.87
37.18,104.05
36.98,103.18
36.35,103.95
36.75,103.25
36.57,104.68
36.55,104.15
35.20,102.52
35.97,103.30
35.68,103.38
35.48,103.55
35.87,104.15
35.58,103.18
35.42,103.33
35.37,103.87
35.37,103.72
35.68,105.07
35.58,104.62
35.38,105.02
35.13,104.20
36.57,107.30
35.98,107.90
35.52,105.72
35.22,105.23
35.55,106.67
35.22,106.07
35.73,107.63
35.07,107.62
35.68,107.18
35.35,107.35
35.20,106.62
35.30,107.02
36.45,107.98
35.78,107.98
35.48,108.40
35.52,107.92
34.58,102.50
34.00,102.08
35.00,102.90
34.70,103.35
34.58,103.50
34.07,103.23
34.85,104.47
35.00,104.65
34.43,104.02
33.78,104.37
34.03,104.38
33.40,104.92
32.95,104.67
34.75,105.33
34.85,105.65
34.73,104.88
34.58,105.75
34.18,105.18
34.03,105.30
34.75,106.15
34.98,106.20
34.57,105.87
33.75,105.72
33.33,105.60
33.78,106.08
33.92,106.30
