from,to,cost
57988,57989,43.262177624624435
57988,57996,91.04946812876537
57988,59071,117.68947926205334
57988,59072,106.29000580787037
57988,59074,137.32840135671748
57988,59075,104.18816438704937
57988,59081,41.789624221160345
57988,59082,59.094998878422324
57988,59087,142.42034618797967
57988,59088,108.21185050431778
57988,59090,75.94747483795386
57988,59094,118.28001430794296
57988,59096,143.48076178711935
57988,59097,149.6519222385935
57988,59099,177.66250156056375
57988,59106,265.24652259304554
57988,59107,226.45799480603793
57988,59109,265.27605689004844
57988,59114,290.12273364882356
57988,59116,350.76476333414814
57988,59117,291.5971658959903
57988,59264,270.5348066844487
57988,59268,280.8551278103733
57988,59269,272.03993947416643
57988,59270,181.06725753373922
57988,59271,193.20905883915623
57988,59276,212.5965388554162
57988,59278,253.09767213575967
57988,59279,224.65197194565417
57988,59280,161.52149730037004
57988,59284,192.96721780041332
57988,59285,177.70236604671612
57988,59287,215.25175394814394
57988,59288,225.1478185166871
57988,59289,245.73069608261295
57988,59290,177.6905598312142
57988,59293,205.25982488107482
57988,59294,208.37682101110698
57988,59297,238.7729991280101
57988,59298,253.67752135352188
57988,59303,278.94974941902325
57988,59304,251.09711054924827
57988,59306,316.44601589329653
57988,59310,325.3019807167152
57988,59312,377.41998174927386
57988,59313,402.67664956676674
57988,59314,349.3483565067905
57988,59315,355.2306316783588
57988,59316,390.02505997657624
57988,59317,381.509950104183
57988,59318,389.0005159309335
57988,59319,401.64312811630003
57988,59324,419.59078371459844
57988,59456,397.40903983424505
57988,59462,325.7056676665674
57988,59469,368.32415197351463
57988,59470,296.77082413759734
57988,59471,280.24328294283623
57988,59473,267.7449767801616
57988,59475,314.3220978239617
57988,59476,293.47094136858107
57988,59477,340.3104463230299
57988,59478,328.01145759824146
57988,59480,256.23666988436594
57988,59481,247.14808513741454
57988,59485,295.04057612348123
57988,59487,325.0928579698703
57988,59488,320.2725334634482
57988,59492,280.2940740615898
57988,59493,299.0701269039763
57988,59500,314.61425929593986
57988,59501,332.62672895928716
57988,59502,338.57330019615205
57988,59650,524.1149209207198
57988,59653,439.946522025405
57988,59654,500.59983180993214
57988,59655,479.1155699712606
57988,59656,491.0796150847615
57988,59658,543.7530657490078
57988,59659,452.5569502586336
57988,59663,395.5137379746121
57988,59664,470.14648460918903
57988,59673,385.29149841407025
57988,59750,573.8471111204967
57988,59754,627.4683674824373
57989,57996,48.41024026125176
57989,59071,155.13453374164823
57989,59072,144.48028026708593
57989,59074,172.8830465352912
57989,59075,132.62717670785545
57989,59081,59.06820714684082
57989,59082,47.723258293026184
57989,59087,134.86986337634244
57989,59088,105.21477326664696
57989,59090,33.081435643763754
57989,59094,87.61709929642143
57989,59096,105.95455581200699
57989,59097,121.60601998380852
57989,59099,136.06255141909344
57989,59106,222.00233165589108
57989,59107,185.8583342487629
57989,59109,223.23979119539084
57989,59114,246.87416269573453
57989,59116,307.55290970942735
57989,59117,248.7171011559703
57989,59264,296.0551293245538
57989,59268,304.633744879382
57989,59269,292.58708242600426
57989,59270,205.74151146841353
57989,59271,210.1495966864368
57989,59276,222.6868242342439
57989,59278,263.7675300165144
57989,59279,229.40140299274134
57989,59280,165.76335382201307
57989,59284,191.67980924716304
57989,59285,167.86728864140602
57989,59287,208.0369975719645
57989,59288,226.910733069403
