lat,long
25.15,113.35
25.07,113.77
25.08,114.25
24.73,112.28
24.80,112.37
24.57,112.15
24.48,112.63
24.78,113.28
24.67,113.60
23.88,113.52
24.18,113.42
24.95,114.07
24.35,114.12
24.37,114.48
24.05,114.20
24.45,114.93
24.58,115.90
24.12,115.28
24.15,115.73
24.65,116.17
24.33,116.70
24.28,116.07
23.40,111.50
23.25,111.53
23.17,111.78
23.92,112.18
23.63,112.43
23.35,112.65
23.03,112.45
23.18,112.87
23.72,113.08
23.42,113.23
23.57,113.60
23.22,113.48
23.15,113.02
22.97,113.73
23.78,114.25
23.80,114.73
23.33,113.83
23.18,114.28
23.07,114.37
23.92,115.75
23.63,115.18
23.45,115.85
23.77,116.18
23.67,116.70
23.68,116.98
23.30,116.13
23.58,116.40
23.40,116.68
23.03,116.30
23.27,116.58
23.43,116.83
23.43,117.03
22.35,110.93
22.70,111.60
22.17,111.78
22.70,112.20
22.93,112.05
22.77,112.97
22.40,112.65
22.53,113.03
22.27,112.23
22.25,112.78
22.85,113.25
22.93,113.32
22.50,113.40
22.23,113.30
22.28,113.57
22.97,114.73
22.53,114.00
22.97,115.32
22.80,115.37
22.95,115.65
21.40,110.25
21.93,110.85
21.63,110.30
21.65,110.62
21.40,110.82
21.15,110.30
21.75,110.92
21.83,111.97
21.53,110.98
21.73,112.77
20.97,110.07
20.33,110.18
