from,to,cost
50136,50137,56.55049810436678
50136,50246,163.78601422613875
50136,50247,126.53814099606846
50136,50349,193.13637937836742
50136,50353,311.6392576925612
50136,50442,306.6426160967658
50136,50468,455.7030483024555
50136,50557,463.4626915156679
50136,50564,518.2223919548308
50136,50566,562.4607466075769
50136,50646,526.0291425644104
50136,50655,560.2674837706237
50136,50656,595.7029735557061
50136,50658,596.9486351673091
50136,50659,609.850219705062
50136,50673,715.5528059793565
50136,50674,689.7540480296817
50136,50739,629.5969889330806
50136,50741,565.3192878741321
50136,50742,592.0373270856453
50136,50745,630.1963209154977
50136,50749,665.2390415355508
50136,50750,597.7035315622164
50136,50755,649.5575559369254
50136,50756,691.1233271017859
50136,50758,688.0921374216305
50136,50767,717.4502548245193
50136,50772,720.0110570173053
50136,50774,737.7707481901738
50136,50775,832.3134646466646
50136,50776,842.1467949949574
50136,50778,922.824692189129
50136,50779,973.2159142417376
50136,50787,913.3614994832272
50136,50788,928.4163322928924
50136,50842,696.8794670055905
50136,50844,734.4124602844123
50136,50850,736.6113020573434
50136,50851,745.1762389270255
50136,50852,739.0310193502365
50136,50853,775.4732296459715
50136,50854,760.6645059726217
50136,50858,806.4276394454296
50136,50859,792.2684933546255
50136,50861,765.0375800193901
50136,50862,772.4148264076516
50136,50867,842.1943326616062
50136,50871,871.7434434122388
50136,50873,885.705224995446
50136,50877,899.2729107625344
50136,50878,885.5330172141819
50136,50879,947.6353967252926
50136,50880,927.9968902964356
50136,50884,938.158982420663
50136,50888,1014.5835189952993
50136,50892,1070.049763538398
50136,50950,833.0070977342199
50136,50953,836.3632456851324
50136,50954,851.9747739117115
50136,50956,825.820685801385
50136,50958,887.6236656536946
50136,50960,879.141421189082
50136,50962,876.6653600150408
50136,50963,898.6794913447458
50136,50964,915.0057262032564
50136,50965,937.0603287976807
50136,50968,949.1282690142301
50136,50971,1009.5066795275475
50136,50973,993.2433768387565
50136,50978,1048.8708800224344
50136,50979,1023.5243188386708
50136,50983,1100.663009878518
50136,50985,1067.6317616196081
50136,50987,1059.2999739812076
50136,54080,959.5264033399653
50136,54092,1058.487384575427
50136,54093,1068.8902163651292
50136,54094,1077.9276178763657
50136,54096,1146.535497419903
50136,54098,1087.9881714277733
50136,54099,1173.8710054435508
50137,50246,201.06377061870293
50137,50247,179.53194888950972
50137,50349,242.90713807727505
50137,50353,347.01066188929695
50137,50442,362.21422023061945
50137,50468,500.220657989681
50137,50557,518.274735230182
50137,50564,566.8217064980025
50137,50566,607.0660602167576
50137,50646,581.9544176718973
50137,50655,614.0988278731537
50137,50656,649.2579679403663
50137,50658,651.8141758008119
50137,50659,664.1385537639433
50137,50673,757.5561870449231
50137,50674,735.4761475539904
50137,50739,685.9015478105254
50137,50741,621.8133575326767
50137,50742,648.4473001091962
50137,50745,686.7450852839827
50137,50749,721.5803809821689
50137,50750,653.4350293967461
50137,50755,704.4842248335407
50137,50756,744.8493202945056
50137,50758,743.5507945079253
50137,50767,771.2092262949407
50137,50772,767.6859002420135
50137,50774,787.372113840559
50137,50775,879.7660411922429
50137,50776,887.5805025069699
50137,50778,964.198806762803
50137,50779,1008.3667600821368
50137,50787,957.3113496804309
50137,50788,972.3006705320104
50137,50842,753.401694527322
50137,50844,790.7986998416274
50137,50850,792.907375395165
50137,50851,800.704484003655
50137,50852,794.0620186075593
50137,50853,829.9934594195936
50137,50854,816.8938234210186
50137,50858,862.330064918688
50137,50859,847.7885594790139
50137,50861,818.5693065659178
50137,50862,824.9852044967364
50137,50867,896.6345504065504
50137,50871,921.1484747227829
50137,50873,934.1792399130529
50137,50877,949.9818947973386
50137,50878,932.6658746244863
50137,50879,996.7048307246449
50137,50880,974.9290917284145
50137,50884,985.2535185455798
50137,50888,1060.3461078845744
50137,50892,1111.0487622095868
50137,50950,889.3812567902767
50137,50953,891.7657622014916
50137,50954,908.4278567370183
50137,50956,880.9417007152916
50137,50958,942.866603121182
50137,50960,933.7887238458338
50137,50962,930.3047632340881
50137,50963,951.2601827666612
50137,50964,967.6358589559499
50137,50965,990.8256057422249
50137,50968,1003.424252403997
50137,50971,1058.507135548658
50137,50973,1043.014512697902
50137,50978,1098.7815144097192
